"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"BIBLIOTECA RICARDO GUIRALDES","BIBLIOTECA","TALCAHUANO 1261",NA,NA,"D2","talcahuano 1261","^([a-z ]*)([0-9]+)","talcahuano","1261"
"CASA DE LA LECTURA - ESPACIO CULTURAL","BIBLIOTECA","LAVALLEJA 924",NA,NA,"D2","lavalleja 924","^([a-z ]*)([0-9]+)","lavalleja","924"
"CASA DE LA CULTURA","CENTRO CULTURAL","DE MAYO AV. 575",NA,NA,"D2","de mayo av 575","^([a-z ]*)([0-9]+)","de mayo av","575"
"CENTRO CULTURAL ALBERTO OLMEDO","CENTRO CULTURAL","VIALE, LUIS 1052",NA,NA,"D2","viale luis 1052","^([a-z ]*)([0-9]+)","viale luis","1052"
"CENTRO CULTURAL ALFONSINA STORNI","CENTRO CULTURAL","TUCUMAN 3233",NA,NA,"D2","tucuman 3233","^([a-z ]*)([0-9]+)","tucuman","3233"
"CENTRO CULTURAL BALDOMERO FERNANDEZ MORENO","CENTRO CULTURAL","MERCEDES 1405",NA,NA,"D2","mercedes 1405","^([a-z ]*)([0-9]+)","mercedes","1405"
"CENTRO CULTURAL GENERAL SAN MARTIN","CENTRO CULTURAL","SARMIENTO 1551",NA,NA,"D2","sarmiento 1551","^([a-z ]*)([0-9]+)","sarmiento","1551"
"CENTRO CULTURAL NUESTRA TIERRA","CENTRO CULTURAL","IRIARTE, GRAL. AV. Y MONTESQUIEU",NA,NA,"D2","iriarte gral av y montesquieu","","iriarte gral av y montesquieu","iriarte gral av y montesquieu"
"CENTRO CULTURAL RECOLETA","CENTRO CULTURAL","JUNIN 1930",NA,NA,"D2","junin 1930","^([a-z ]*)([0-9]+)","junin","1930"
"CENTRO CULTURAL TATO BORES","CENTRO CULTURAL","SOLER 3929",NA,NA,"D2","soler 3929","^([a-z ]*)([0-9]+)","soler","3929"
"COMPLEJO CULTURAL CHACRA DE LOS REMEDIOS","CENTRO CULTURAL","DIRECTORIO AV. Y LACARRA",NA,NA,"D2","directorio av y lacarra","","directorio av y lacarra","directorio av y lacarra"
"LA VIDRIERA DE LA DGEART","CENTRO CULTURAL","PERU 374",NA,NA,"D2","peru 374","^([a-z ]*)([0-9]+)","peru","374"
"USINA DEL ARTE","CENTRO CULTURAL","DON PEDRO DE MENDOZA AV. Y CAFFARENA, AGUSTIN R.",NA,NA,"D2","don pedro de mendoza av y caffarena agustin r","","don pedro de mendoza av y caffarena agustin r","don pedro de mendoza av y caffarena agustin r"
"CENTRO CULTURAL ADAN BUENOS AYRES","CENTRO CULTURAL","ASAMBLEA AV. 1200",NA,NA,"D2","asamblea av 1200","^([a-z ]*)([0-9]+)","asamblea av","1200"
"CENTRO CULTURAL ANIBAL TROILO","CENTRO CULTURAL","GORRITI 5740",NA,NA,"D2","gorriti 5740","^([a-z ]*)([0-9]+)","gorriti","5740"
"CENTRO CULTURAL ARTES DE PARQUE CHACABUCO","CENTRO CULTURAL","CACHIMAYO 1657",NA,NA,"D2","cachimayo 1657","^([a-z ]*)([0-9]+)","cachimayo","1657"
