"NOMBRE","ACTIVIDAD","DIRECCION","X","X.1","origin","DIRECCION.CLEAN","regexp","calle","numero"
"MUSEO DE LA FARMACIA ""DRA. ROSA DALESSIO DE CARNEVALE BONINO""","MUSEO","JUNIN 956",NA,NA,"D2","junin 956","^([a-z ]*)([0-9]+)","junin","956"
"MUSEO DE FARMACO BOTANICA ""JUAN A. DOMINGUEZ""","MUSEO","JUNIN 956",NA,NA,"D2","junin 956","^([a-z ]*)([0-9]+)","junin","956"
"CENTRO ANA FRANK ARGENTINA","MUSEO","SUPERI 2647",NA,NA,"D2","superi 2647","^([a-z ]*)([0-9]+)","superi","2647"
"MUSEO CASA TALLER CELIA CHEVALIER","MUSEO","IRALA 1162",NA,NA,"D2","irala 1162","^([a-z ]*)([0-9]+)","irala","1162"
"MUSEO FRANCISCANO JOSE MARIA BOTARO","MUSEO","ALSINA, ADOLFO 380",NA,NA,"D2","alsina adolfo 380","^([a-z ]*)([0-9]+)","alsina adolfo","380"
"BUQUE MUSEO FRAGATA ARA PRESIDENTE SARMIENTO","MUSEO","MOREAU DE JUSTO, ALICIA AV. 980",NA,NA,"D2","moreau de justo alicia av 980","^([a-z ]*)([0-9]+)","moreau de justo alicia av","980"
"INSTITUTO DE INVESTIGACIONES HISTORICAS DE LAS MANZANAS DE LAS LUCES","MUSEO","PERU 272",NA,NA,"D2","peru 272","^([a-z ]*)([0-9]+)","peru","272"
"MUSEO MUNDIAL DEL TANGO DE LA ACADEMIA NACIONAL DEL TANGO","MUSEO","RIVADAVIA AV. 830",NA,NA,"D2","rivadavia av 830","^([a-z ]*)([0-9]+)","rivadavia av","830"
"MUSEO PARTICIPATIVO MINERO MUMIN","MUSEO","ROCA, JULIO A., PRESIDENTE AV. 651",NA,NA,"D2","roca julio a presidente av 651","^([a-z ]*)([0-9]+)","roca julio a presidente av","651"
"MUSEO DEL AUDIFONO","MUSEO","PERON, JUAN DOMINGO, TTE. GENERAL 1647",NA,NA,"D2","peron juan domingo tte general 1647","^([a-z ]*)([0-9]+)","peron juan domingo tte general","1647"
"MUSEO DE LOS PATRICIOS DE BUENOS AYRES - REGIMIENTO DE INFANTERIA NRO 1","MUSEO","BULLRICH, INT. AV. 481",NA,NA,"D2","bullrich int av 481","^([a-z ]*)([0-9]+)","bullrich int av","481"
"MUSEO DE ARQUITECTURA Y DISEÑO MARQ","MUSEO","DEL LIBERTADOR AV. 999",NA,NA,"D2","del libertador av 999","^([a-z ]*)([0-9]+)","del libertador av","999"
"MUSEO CASA DE RICARDO ROJAS","MUSEO","CHARCAS 2837",NA,NA,"D2","charcas 2837","^([a-z ]*)([0-9]+)","charcas","2837"
"CLUB GRICEL","MILONGA Y/O TANGUERIA","LA RIOJA 1180",NA,NA,"D2","la rioja 1180","^([a-z ]*)([0-9]+)","la rioja","1180"
"COMPLEJO TANGO","MILONGA Y/O TANGUERIA","BELGRANO AV. 2608",NA,NA,"D2","belgrano av 2608","^([a-z ]*)([0-9]+)","belgrano av","2608"
"CANDILEJAS TANGO","MILONGA Y/O TANGUERIA","ESTADOS UNIDOS 1500",NA,NA,"D2","estados unidos 1500","^([a-z ]*)([0-9]+)","estados unidos","1500"
"ROJO TANGO","MILONGA Y/O TANGUERIA","SALOTTI MARTHA 445",NA,NA,"D2","salotti martha 445","^([a-z ]*)([0-9]+)","salotti martha","445"
"LA VENTANA","MILONGA Y/O TANGUERIA","BALCARCE 431",NA,NA,"D2","balcarce 431","^([a-z ]*)([0-9]+)","balcarce","431"
"GALA TANGO","MILONGA Y/O TANGUERIA","5 DE JULIO 434",NA,NA,"D2","5 de julio 434","^([a-z ]*)([0-9]+)","de julio 434","5 de julio 434"
"SABOR A TANGO","MILONGA Y/O TANGUERIA","PERON, JUAN DOMINGO, TTE. GENERAL 2535",NA,NA,"D2","peron juan domingo tte general 2535","^([a-z ]*)([0-9]+)","peron juan domingo tte general","2535"
"MADERO TANGO","MILONGA Y/O TANGUERIA","MOREAU DE JUSTO, ALICIA AV. 2060",NA,NA,"D2","moreau de justo alicia av 2060","^([a-z ]*)([0-9]+)","moreau de justo alicia av","2060"
"LA PAILA RESTAURANT","PEÑA","COSTA RICA 4848",NA,NA,"D2","costa rica 4848","^([a-z ]*)([0-9]+)","costa rica","4848"
"BIBLIOTECA ANTARTIDA","BIBLIOTECA","CERRITO 1248",NA,NA,"D2","cerrito 1248","^([a-z ]*)([0-9]+)","cerrito","1248"
"BIBLIOTECA DE SEGURIDAD SOCIAL ""DR. RICARDO MOLES""","BIBLIOTECA","BALCARCE 610",NA,NA,"D2","balcarce 610","^([a-z ]*)([0-9]+)","balcarce","610"
"CENTRO DE INFORMACION TECHINT","BIBLIOTECA","CORDOBA AV. 320",NA,NA,"D2","cordoba av 320","^([a-z ]*)([0-9]+)","cordoba av","320"
"BIBLIOTECA FUNDACION DE ALTOS ESTUDIOS EN CIENCIAS COMERCIALES","BIBLIOTECA","URUGUAY 57",NA,NA,"D2","uruguay 57","^([a-z ]*)([0-9]+)","uruguay","57"
"BIBLIOTECA CENTRO DE ESTUDIOS PARA LA NUEVA MAYORIA","BIBLIOTECA","ESTADOS UNIDOS 943",NA,NA,"D2","estados unidos 943","^([a-z ]*)([0-9]+)","estados unidos","943"
"SERVICIO DE INFORMACION Y DOCUMENTACION DEL HOSPITAL NACIONAL DE PEDIATRIA ""PROF. JUAN P. GARRAHAN""","BIBLIOTECA","COMBATE DE LOS POZOS 1881",NA,NA,"D2","combate de los pozos 1881","^([a-z ]*)([0-9]+)","combate de los pozos","1881"
"BIBLIOTECA ""BIALET MASSE""","BIBLIOTECA","ALEM, LEANDRO N. AV. 650",NA,NA,"D2","alem leandro n av 650","^([a-z ]*)([0-9]+)","alem leandro n av","650"
"BIBLIOTECA CENTRO DE ESTUDIOS DE POBLACION","BIBLIOTECA","CORRIENTES AV. 2817",NA,NA,"D2","corrientes av 2817","^([a-z ]*)([0-9]+)","corrientes av","2817"
"BIBLIOTECA FUNDACION DE ESTUDIOS BRASILEIROS. LIBRERIA FLOR DO IPE","BIBLIOTECA","ESMERALDA 965",NA,NA,"D2","esmeralda 965","^([a-z ]*)([0-9]+)","esmeralda","965"
"BIBLIOTECA NACIONAL DE MAESTROS","BIBLIOTECA","PIZZURNO 953",NA,NA,"D2","pizzurno 953","^([a-z ]*)([0-9]+)","pizzurno","953"
"HEMEROTECA DEL MINISTERIO DE EDUCACION","ARCHIVO","PIZZURNO 953",NA,NA,"D2","pizzurno 953","^([a-z ]*)([0-9]+)","pizzurno","953"
"CENTRO DE INFORMACION Y DOCUMENTACION EDUCATIVA","ARCHIVO","PIZZURNO 935",NA,NA,"D2","pizzurno 935","^([a-z ]*)([0-9]+)","pizzurno","935"
"BIBLIOTECA AUDITORIA GENERAL DE LA NACION","BIBLIOTECA","YRIGOYEN, HIPOLITO 1236",NA,NA,"D2","yrigoyen hipolito 1236","^([a-z ]*)([0-9]+)","yrigoyen hipolito","1236"
"BIBLIOTECA DE LA SUPERINTENDENCIA DE RIESGOS DEL TRABAJO","BIBLIOTECA","MITRE, BARTOLOME 751",NA,NA,"D2","mitre bartolome 751","^([a-z ]*)([0-9]+)","mitre bartolome","751"
"CENTRO DE DOCUMENTACION DEL CENTRO FEDERAL DE INVERSIONES CFI ""DR. MANUEL BELGRANO""","BIBLIOTECA","SAN MARTIN 871",NA,NA,"D2","san martin 871","^([a-z ]*)([0-9]+)","san martin","871"
"BIBLIOTECA Y CENTRO ADMNISTRATIVO DOCUMENTAL SEDRONAR","BIBLIOTECA","SARMIENTO 546",NA,NA,"D2","sarmiento 546","^([a-z ]*)([0-9]+)","sarmiento","546"
"BIBLIOTECA CENTRAL Y CENTRO DE DOCUMENTACION ""PERITO FRANCISCO P. MORENO""","BIBLIOTECA","SANTA FE AV. 690",NA,NA,"D2","santa fe av 690","^([a-z ]*)([0-9]+)","santa fe av","690"
"BIBLIOTECA DEL SERVICIO DE HIDROGRAFIA NAVAL","BIBLIOTECA","MONTES DE OCA, MANUEL 2124",NA,NA,"D2","montes de oca manuel 2124","^([a-z ]*)([0-9]+)","montes de oca manuel","2124"
"BIBLIOTECA Y SERVICIO DE INFORMACION EN LINEA ""DR. CARLOS A. DURRUTY""","BIBLIOTECA","SANCHEZ DE BUSTAMANTE 1749",NA,NA,"D2","sanchez de bustamante 1749","^([a-z ]*)([0-9]+)","sanchez de bustamante","1749"
"BIBLIOTECA DEL INSTITUTO ARGENTINO DEL ENVASE","BIBLIOTECA","JUJUY AV. 425",NA,NA,"D2","jujuy av 425","^([a-z ]*)([0-9]+)","jujuy av","425"
"CENTRO INTERDISCIPLINARIO DE INVESTIGACIONES EN PSICOLOGIA, MATEMATICA Y EXPERIMENTAL","BIBLIOTECA","PERON, JUAN DOMINGO, TTE. GENERAL 2158",NA,NA,"D2","peron juan domingo tte general 2158","^([a-z ]*)([0-9]+)","peron juan domingo tte general","2158"
"CENTRO DE INVESTIGACIONES ENDOCRINOLOGICAS CEDIE","BIBLIOTECA","GALLO 1330",NA,NA,"D2","gallo 1330","^([a-z ]*)([0-9]+)","gallo","1330"
"BIBLIOTECA DEL INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA","BIBLIOTECA","ROSARIO 532",NA,NA,"D2","rosario 532","^([a-z ]*)([0-9]+)","rosario","532"
"BIBLIOTECA DEL INSTITUTO TECNICO MEDICO ""ALEXADER FLEMING"". FUNDACION CANCER (FUCA).","BIBLIOTECA","CRAMER 1180",NA,NA,"D2","cramer 1180","^([a-z ]*)([0-9]+)","cramer","1180"
"BIBLIOTECA DEL INSTITUTO SUPERIOR EN LENGUAS VIVAS","BIBLIOTECA","PELLEGRINI, CARLOS 1515",NA,NA,"D2","pellegrini carlos 1515","^([a-z ]*)([0-9]+)","pellegrini carlos","1515"
"BIBLIOTECA DEL AREA DE INVESTIGACIONES GEOGRAFICAS DEL INSTITUTO MULTIDISCIPLINARIO DE CIENCIAS HUMANAS","BIBLIOTECA","SAAVEDRA 15",NA,NA,"D2","saavedra 15","^([a-z ]*)([0-9]+)","saavedra","15"
"BIBLIOTECA DEL AREA DE ARQUEOLOGIA DEL INSTITUTO MULTIDISCIPLINARIO DE CIENCIAS HUMANAS","BIBLIOTECA","SAAVEDRA 15",NA,NA,"D2","saavedra 15","^([a-z ]*)([0-9]+)","saavedra","15"
"BIBLIOTECA DEL AREA DE EGIPTOLOGIA DEL INSTITUTO MULTIUDISCIPLINARIO DE CIENCIAS HUMANAS","BIBLIOTECA","SAAVEDRA 15",NA,NA,"D2","saavedra 15","^([a-z ]*)([0-9]+)","saavedra","15"
"BIBLIOTECA DEL AREA DE INVESTIGACIONES MEDIEVALES DEL INSTITUTO MULTIDISCIPLINARIO DE CIENCIAS HUMANAS","BIBLIOTECA","SAAVEDRA 15",NA,NA,"D2","saavedra 15","^([a-z ]*)([0-9]+)","saavedra","15"
"BIBLIOTECA DE LA ESCUELA DE LA ORIENTACION LACANIANA","BIBLIOTECA","CALLAO AV. 1033",NA,NA,"D2","callao av 1033","^([a-z ]*)([0-9]+)","callao av","1033"
"BIBLIOTECA DE LA SOCIEDAD ARGENTINA DE CARDIOLOGIA","BIBLIOTECA","AZCUENAGA 980",NA,NA,"D2","azcuenaga 980","^([a-z ]*)([0-9]+)","azcuenaga","980"
"BIBLIOTECA DE LA UNIVERSIDAD DE BELGRANO","BIBLIOTECA","ZABALA 1851",NA,NA,"D2","zabala 1851","^([a-z ]*)([0-9]+)","zabala","1851"
"BIBLIOTECA DE LA ACADEMIA NACIONAL DE CIENCIAS EXACTAS, FISICAS Y NATURALES","BIBLIOTECA","ALVEAR 1711",NA,NA,"D2","alvear 1711","^([a-z ]*)([0-9]+)","alvear","1711"
"BIBLIOTECA DE LA ASOCIACION DE BIBLIOTECARIOS GRADUADOS DE LA REPUBLICA ARGENTINA ""REINALDO JOSE SUAREZ""","BIBLIOTECA","PARANA 918",NA,NA,"D2","parana 918","^([a-z ]*)([0-9]+)","parana","918"
"BIBLIOTECA DE LA FACULTAD DE DERECHO DE LA UBA","BIBLIOTECA","FIGUEROA ALCORTA, PRES. AV. 2263",NA,NA,"D2","figueroa alcorta pres av 2263","^([a-z ]*)([0-9]+)","figueroa alcorta pres av","2263"
"BIBLIOTECA NACIONAL","BIBLIOTECA","AGUERO 2502",NA,NA,"D2","aguero 2502","^([a-z ]*)([0-9]+)","aguero","2502"
"BIBLIOTECA DE LA SOCIEDAD ARGENTINA DE REUMATOLOGIA","BIBLIOTECA","CALLAO AV. 384",NA,NA,"D2","callao av 384","^([a-z ]*)([0-9]+)","callao av","384"
"BIBLIOTECA DEL INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA - INSTITUTO DE ECONOMIA Y SOCIOLOGIA","BIBLIOTECA","CERVIÃ‘O AV. 3101",NA,NA,"D2","cerviao av 3101","^([a-z ]*)([0-9]+)","cerviao av","3101"
"BIBLIOTECA DEL MUSEO NACIONAL DE ARTE DECORATIVO","BIBLIOTECA","DEL LIBERTADOR AV. 1902",NA,NA,"D2","del libertador av 1902","^([a-z ]*)([0-9]+)","del libertador av","1902"
"BIBLIOTECA DEL CENTRO DE INVESTIGACIONES FILOSOFICAS CIF","BIBLIOTECA","MIÃ‘ONES 2073",NA,NA,"D2","miaones 2073","^([a-z ]*)([0-9]+)","miaones","2073"
"INSTITUTO DE GEOCRONOLOGIA Y GEOLOGIA ISOTOPICA","BIBLIOTECA","GUIRALDES, INT. 2620",NA,NA,"D2","guiraldes int 2620","^([a-z ]*)([0-9]+)","guiraldes int","2620"
"INSTITUTO NACIONAL SAN MARTINIANO","BIBLIOTECA","CASTILLA, RAMON, MARISCAL Y AGUADO, ALEJANDRO M. DE",NA,NA,"D2","castilla ramon mariscal y aguado alejandro m de","","castilla ramon mariscal y aguado alejandro m de","castilla ramon mariscal y aguado alejandro m de"
"INSTITUTO DE BIOLOGIA Y MEDICINA EXPERIMENTAL","BIBLIOTECA","VUELTA DE OBLIGADO 2490",NA,NA,"D2","vuelta de obligado 2490","^([a-z ]*)([0-9]+)","vuelta de obligado","2490"
"INSTITUTO NACIONAL DE ANTROPOLOGIA Y PENSAMIENTO LATINOAMERICA - BIBLIOTECA Y CENTRO DE DOCUMENTACION ""JUAN ANTONIO CARRIZO""","BIBLIOTECA","3 DE FEBRERO 1378",NA,NA,"D2","3 de febrero 1378","^([a-z ]*)([0-9]+)","de febrero 1378","3 de febrero 1378"
"BIBLIOTECA CENTRAL DE CIUDAD UNIVERSITARIA (UBA)","BIBLIOTECA","GUIRALDES, INT. 2620",NA,NA,"D2","guiraldes int 2620","^([a-z ]*)([0-9]+)","guiraldes int","2620"
"BIBLIOTECA DEL INSTITUTO ARGENTINO DE MATEMATICA ""ALBERTO CALDERON""","BIBLIOTECA","SAAVEDRA 15",NA,NA,"D2","saavedra 15","^([a-z ]*)([0-9]+)","saavedra","15"
"BIBLIOTECA DEL CENTRO ARGENTINO DE INFORMACION CIENTIFICA Y TECNOLOGICA","BIBLIOTECA","SAAVEDRA 15",NA,NA,"D2","saavedra 15","^([a-z ]*)([0-9]+)","saavedra","15"
"RED DE BIBLIOTECAS UNIVERSITARIAS DEL SALVADOR RED BUS","BIBLIOTECA","PERON, JUAN DOMINGO, TTE. GENERAL 1818",NA,NA,"D2","peron juan domingo tte general 1818","^([a-z ]*)([0-9]+)","peron juan domingo tte general","1818"
"BIBLIOTECA ALVEAR ""R.P. ERNESTO DANN OBREGON S.J"" UNIVERSIDAD DEL SALVADOR","BIBLIOTECA","ALVEAR, MARCELO T. DE 1312",NA,NA,"D2","alvear marcelo t de 1312","^([a-z ]*)([0-9]+)","alvear marcelo t de","1312"
"BIBLIOTECA ""FINOCHIETTO"" DE LA FACULTAD DE MEDICINA UNIVERSIDAD DEL SALVADOR","BIBLIOTECA","TUCUMAN 1845",NA,NA,"D2","tucuman 1845","^([a-z ]*)([0-9]+)","tucuman","1845"
"BIBLIOTECA DEL HOSPITAL MATERNO INFANTIL RAMON SARDA","BIBLIOTECA","LUCA, ESTEBAN DE 2151",NA,NA,"D2","luca esteban de 2151","^([a-z ]*)([0-9]+)","luca esteban de","2151"
"BIBLIOTECA ""DR. MARTIN VAZQUEZ VIGO"" DE LA ASOCIACION MEDICOS MUNICIPALES DE LA CIUDAD DE BS.AS.","BIBLIOTECA","PACHECO DE MELO, JOSE ANDRES 2034",NA,NA,"D2","pacheco de melo jose andres 2034","^([a-z ]*)([0-9]+)","pacheco de melo jose andres","2034"
"BIBLIOTECA DEL CENTRO DE ECONOMIA INTERNACIONAL (CEI)","BIBLIOTECA","ESMERALDA 1212",NA,NA,"D2","esmeralda 1212","^([a-z ]*)([0-9]+)","esmeralda","1212"
"BIBLIOTECA NACIONAL DE METEOROLOGIA ?ING. ALFREDO G. GALMARINI?","BIBLIOTECA","25 DE MAYO 658",NA,NA,"D2","25 de mayo 658","^([a-z ]*)([0-9]+)","de mayo 658","25 de mayo 658"
"BIBLIOTECA CENTRAL DE UNIVERSIDAD ABIERTA INTERAMERICANA","BIBLIOTECA","MONTES DE OCA, MANUEL 745",NA,NA,"D2","montes de oca manuel 745","^([a-z ]*)([0-9]+)","montes de oca manuel","745"
"BIBLIOTECA UNIVERSITARIA DEL CINE","BIBLIOTECA","GIUFFRA, JOSE M.,DR. 330",NA,NA,"D2","giuffra jose mdr 330","^([a-z ]*)([0-9]+)","giuffra jose mdr","330"
"CENTRO DOCUMENTAL Y BIBLIOTECA DEL ATENEO ARGENTINO DE ODONTOLOGIA","BIBLIOTECA","ANCHORENA, TOMAS MANUEL DE, DR. 1176",NA,NA,"D2","anchorena tomas manuel de dr 1176","^([a-z ]*)([0-9]+)","anchorena tomas manuel de dr","1176"
"BIBLIOTECA CENTRAL DE LA UNIVERSIDAD AUSTRAL","BIBLIOTECA","GARAY, JUAN DE AV. 125",NA,NA,"D2","garay juan de av 125","^([a-z ]*)([0-9]+)","garay juan de av","125"
"BIBLIOTECA ""DR. CARLOS CARDINI"" DE LA FUNDACION INSTITUTO LELOIR","BIBLIOTECA","PATRICIAS ARGENTINAS AV. 435",NA,NA,"D2","patricias argentinas av 435","^([a-z ]*)([0-9]+)","patricias argentinas av","435"
"BIBLIOTECA ""UTOPIA"" DEL CENTRO CULTURAL DE LA COOPERACION","BIBLIOTECA","CORRIENTES AV. 1543",NA,NA,"D2","corrientes av 1543","^([a-z ]*)([0-9]+)","corrientes av","1543"
"BIBLIOTECA UNIVERSITARIA MAIMONIDES","BIBLIOTECA","HIDALGO 775",NA,NA,"D2","hidalgo 775","^([a-z ]*)([0-9]+)","hidalgo","775"
"BIBLIOTECA Y ARCHIVO DOCUMENTAL DEL INSTITUTO NACIONAL DE TECNOLOGIA AGROPECUARIA (INTA)","BIBLIOTECA","CHILE 460",NA,NA,"D2","chile 460","^([a-z ]*)([0-9]+)","chile","460"
"BIBLIOTECA ""EZEQUIEL MARTINEZ ESTRADA"" DE LA UNIVERSIDAD FAVALORO","BIBLIOTECA","BELGRANO AV. 1720",NA,NA,"D2","belgrano av 1720","^([a-z ]*)([0-9]+)","belgrano av","1720"
"BIBLIOTECA Y CENTRO MULTIMEDIA DE LA FACULTAD DE CIENCIAS VETERINARIAS UBA","BIBLIOTECA","CHORROARIN AV. 280",NA,NA,"D2","chorroarin av 280","^([a-z ]*)([0-9]+)","chorroarin av","280"
"BIBLIOTECA DEL ALMA MATER STUDIORUM UNIVERSIDAD DI BOLOGNA","BIBLIOTECA","RODRIGUEZ PE�A 1464",NA,NA,"D2",NA,"",NA,NA
"BIBLIOTECA ""PROFESOR EMERITO DR. ALFREDO L. PALACIOS""","BIBLIOTECA","CORDOBA AV. 2122",NA,NA,"D2","cordoba av 2122","^([a-z ]*)([0-9]+)","cordoba av","2122"
"BIBLIOTECA BARTOLOME MITRE COLEGIO PUBLICO DE TRADUCTORES","BIBLIOTECA","CORRIENTES AV. 1834",NA,NA,"D2","corrientes av 1834","^([a-z ]*)([0-9]+)","corrientes av","1834"
"CENTRO LATINOAMERICANO DE DOCUMENTACION INFORMATICA Y ELECTRONICA","BIBLIOTECA","URUGUAY 252",NA,NA,"D2","uruguay 252","^([a-z ]*)([0-9]+)","uruguay","252"
"BIBLIOTECA DEL COLEGIO DE ABOGADOS DE LA CIUDAD DE BUENOS AIRES","BIBLIOTECA","MONTEVIDEO 640",NA,NA,"D2","montevideo 640","^([a-z ]*)([0-9]+)","montevideo","640"
"ARCHIVO TECNICO DE LA SECRETARIA DE ENERGIA","BIBLIOTECA","PASEO COLON AV. 171",NA,NA,"D2","paseo colon av 171","^([a-z ]*)([0-9]+)","paseo colon av","171"
"BIBLIOTECA DE LA COMISION NACIONAL DE COMERCIO EXTERIOR","BIBLIOTECA","PASEO COLON AV. 275",NA,NA,"D2","paseo colon av 275","^([a-z ]*)([0-9]+)","paseo colon av","275"
"BIBLIOTECA DE DEFENSA ""GENERALA JUANA AZURDUY""","BIBLIOTECA","AZOPARDO Y MORENO",NA,NA,"D2","azopardo y moreno","","azopardo y moreno","azopardo y moreno"
"ARCHIVO GENERAL DE LA NACION - ARCHIVO INTERMEDIO","ARCHIVO","PASEO COLON AV. 1093",NA,NA,"D2","paseo colon av 1093","^([a-z ]*)([0-9]+)","paseo colon av","1093"
"CENTRO BIBLIOGRAFICO DE ENFERMEDADES ENDEMICAS","BIBLIOTECA","PASEO COLON AV. 568",NA,NA,"D2","paseo colon av 568","^([a-z ]*)([0-9]+)","paseo colon av","568"
"INSTITUTO NACIONAL DE ALIMENTOS","ARCHIVO","ESTADOS UNIDOS 25",NA,NA,"D2","estados unidos 25","^([a-z ]*)([0-9]+)","estados unidos","25"
"BIBLIOTECA LABORATORIOS ALCON ""CARLOS S. DAMEL""","BIBLIOTECA","PERON, JUAN DOMINGO, TTE. GENERAL 1479",NA,NA,"D2","peron juan domingo tte general 1479","^([a-z ]*)([0-9]+)","peron juan domingo tte general","1479"
"CENTRO DE INFORMACION Y DOCUMENTACION EN ONCOLOGIA","ARCHIVO","TUCUMAN 731",NA,NA,"D2","tucuman 731","^([a-z ]*)([0-9]+)","tucuman","731"
"BIBLIOTECA ESCUELA SUPERIOR DE GUERRA AEREA","BIBLIOTECA","ZANNI PEDRO COMODORO 250",NA,NA,"D2","zanni pedro comodoro 250","^([a-z ]*)([0-9]+)","zanni pedro comodoro","250"
"BIBLIOTECA MARISEL MONTOTO RODRIGUEZ","BIBLIOTECA","DE MAYO AV. 866",NA,NA,"D2","de mayo av 866","^([a-z ]*)([0-9]+)","de mayo av","866"
"BIBLIOTECA DE LA UNION INDUSTRIAL ARGENTINA","ARCHIVO","DE MAYO AV. 1147",NA,NA,"D2","de mayo av 1147","^([a-z ]*)([0-9]+)","de mayo av","1147"
"UNIVERSIDAD DEL CEMA ADRIAN GUISARRI","BIBLIOTECA","CORDOBA AV. 400",NA,NA,"D2","cordoba av 400","^([a-z ]*)([0-9]+)","cordoba av","400"
"BIBLIOTECA DR. LAUREANO RIVAS MIGUEZ DEL HOSPITAL DE NIÑOS RICARDO GUTIERREZ","BIBLIOTECA","GALLO 1330",NA,NA,"D2","gallo 1330","^([a-z ]*)([0-9]+)","gallo","1330"
"SOCIEDAD ARGENTINA DE ORTODONCIA","BIBLIOTECA","MONTEVIDEO 971",NA,NA,"D2","montevideo 971","^([a-z ]*)([0-9]+)","montevideo","971"
"FUNDACION ""DR. HECTOR BARCELO""","BIBLIOTECA","LAS HERAS GENERAL AV. 2191",NA,NA,"D2","las heras general av 2191","^([a-z ]*)([0-9]+)","las heras general av","2191"
"BIBLIOTECA JOSE MURTHAG","BIBLIOTECA","DIAZ, CNEL. AV. 1971",NA,NA,"D2","diaz cnel av 1971","^([a-z ]*)([0-9]+)","diaz cnel av","1971"
"BIBLIOTECA DEL COLEGIO NACIONAL BUENOS AIRES","BIBLIOTECA","BOLIVAR 263",NA,NA,"D2","bolivar 263","^([a-z ]*)([0-9]+)","bolivar","263"
"INSTITUTO DE INVESTIGACIONES JURIDICAS Y SOCIALES AMBROSIO L. GIOJA","BIBLIOTECA","FIGUEROA ALCORTA, PRES. AV. 2263",NA,NA,"D2","figueroa alcorta pres av 2263","^([a-z ]*)([0-9]+)","figueroa alcorta pres av","2263"
"BIBLIOTECA CENTRAL ""DR. LUIS F. LELOIR""","BIBLIOTECA","GUIRALDES, INT. 2620",NA,NA,"D2","guiraldes int 2620","^([a-z ]*)([0-9]+)","guiraldes int","2620"
"BIBLIOTECA CENTRAL DE LA FACULTAD DE AGRONOMIA (UBA)","BIBLIOTECA","SAN MARTIN AV. 4453",NA,NA,"D2","san martin av 4453","^([a-z ]*)([0-9]+)","san martin av","4453"
"BIBLIOTECA CENTRAL DEL ESTADO MAYOR CONJUNTO DE LAS FUERZAS ARMADAS","BIBLIOTECA","PASEO COLON AV. 255",NA,NA,"D2","paseo colon av 255","^([a-z ]*)([0-9]+)","paseo colon av","255"
"BIBLIOTECA DEL INSTITUTO NACIONAL DE LA PROPIEDAD INDUSTRIAL (I.N.P.I.)","BIBLIOTECA","PASEO COLON AV. 717",NA,NA,"D2","paseo colon av 717","^([a-z ]*)([0-9]+)","paseo colon av","717"
"CENTRO DE DOCUMENTACION E INFORMACION ""DR. JORGE EDUARDO COLL""","BIBLIOTECA","PERON, JUAN DOMINGO, TTE. GENERAL 524",NA,NA,"D2","peron juan domingo tte general 524","^([a-z ]*)([0-9]+)","peron juan domingo tte general","524"
"PEÑA DE TANGO ALMA DE BOHEMIO DEL CLUB SOCIAL BOHEMIO","MILONGA Y/O TANGUERIA","NECOCHEA 948",NA,NA,"D2","necochea 948","^([a-z ]*)([0-9]+)","necochea","948"
"MILONGA NUEVO SALON ARGENTINA","MILONGA Y/O TANGUERIA","MITRE, BARTOLOME 1759",NA,NA,"D2","mitre bartolome 1759","^([a-z ]*)([0-9]+)","mitre bartolome","1759"
"MILONGA PARAKULTURAL","MILONGA Y/O TANGUERIA","SCALABRINI ORTIZ, RAUL AV. 1331",NA,NA,"D2","scalabrini ortiz raul av 1331","^([a-z ]*)([0-9]+)","scalabrini ortiz raul av","1331"
"CIRCULO TROVADOR","MILONGA Y/O TANGUERIA","DEL LIBERTADOR AV. 1031",NA,NA,"D2","del libertador av 1031","^([a-z ]*)([0-9]+)","del libertador av","1031"
"MILONGA GAY LA MARSHALL","MILONGA Y/O TANGUERIA","RIOBAMBA 416",NA,NA,"D2","riobamba 416","^([a-z ]*)([0-9]+)","riobamba","416"
"EL BESO","MILONGA Y/O TANGUERIA","RIOBAMBA 416",NA,NA,"D2","riobamba 416","^([a-z ]*)([0-9]+)","riobamba","416"
"BOEDO TANGO","MILONGA Y/O TANGUERIA","SAN JUAN AV. 3330",NA,NA,"D2","san juan av 3330","^([a-z ]*)([0-9]+)","san juan av","3330"
"CLUB PIAMONTES - SALON RODRIGUEZ","MILONGA Y/O TANGUERIA","RODRIGUEZ, MANUEL A., GENERAL 1191",NA,NA,"D2","rodriguez manuel a general 1191","^([a-z ]*)([0-9]+)","rodriguez manuel a general","1191"
"CLUB CRISOL UNIDOS - MILONGA SARAZA TANGO","MILONGA Y/O TANGUERIA","SARAZA 951",NA,NA,"D2","saraza 951","^([a-z ]*)([0-9]+)","saraza","951"
"SOCIEDAD DE FOMENTO MARIANO ACOSTA - MILONGA LA TIERRITA","MILONGA Y/O TANGUERIA","ACOSTA, MARIANO 1544",NA,NA,"D2","acosta mariano 1544","^([a-z ]*)([0-9]+)","acosta mariano","1544"
"CLUB SUNDERLAND - LA MILONGA DEL MUNDO","MILONGA Y/O TANGUERIA","LUGONES 3161",NA,NA,"D2","lugones 3161","^([a-z ]*)([0-9]+)","lugones","3161"
