NOMBRE	ACTIVIDAD	DIRECCION		
CENTRO CULTURAL FORTUNATO LACAMERA	CENTRO CULTURAL	SAN JUAN AV. 353		
CENTRO CULTURAL HOMERO MANZI	CENTRO CULTURAL	TILCARA 3365		
CENTRO CULTURAL JUAN CARLOS CASTAGNINO	CENTRO CULTURAL	PAZ, GRAL. AV. Y 2 DE ABRIL DE 1982		
CENTRO CULTURAL JULIO CORTAZAR	CENTRO CULTURAL	O'HIGGINS 3050		
CENTRO CULTURAL LA CASITA DE LA SELVA	CENTRO CULTURAL	LA SELVA 4022		
CENTRO CULTURAL LA PATERNAL - VILLA MITRE	CENTRO CULTURAL	CARACAS 1249		
CENTRO CULTURAL LA USINA	CENTRO CULTURAL	SANTO DOMINGO 2752		
CENTRO CULTURAL LINO E. SPILIMBERGO	CENTRO CULTURAL	PEREZ, ROQUE 3545		
CENTRO CULTURAL LOLA MORA	CENTRO CULTURAL	RIO DE JANEIRO 946		
CENTRO CULTURAL MACEDONIO FERNANDEZ	CENTRO CULTURAL	LEGUIZAMON, MARTINIANO 1470		
CENTRO CULTURAL MARCO DEL PONT	CENTRO CULTURAL	ARTIGAS, JOSE GERVASIO, GRAL. 202		
CENTRO CULTURAL OSVALDO PUGLIESE	CENTRO CULTURAL	ARAOZ 234		
CENTRO CULTURAL PLAZA DEFENSA	CENTRO CULTURAL	DEFENSA 535		
CENTRO CULTURAL RESURGIMIENTO	CENTRO CULTURAL	ARTIGAS, JOSE GERVASIO, GRAL. 2262		
CENTRO CULTURAL ROBERTO ARLT	CENTRO CULTURAL	AVELLANEDA AV. 2547		
CENTRO CULTURAL ROBERTO SANTORO	CENTRO CULTURAL	GIRIBONE 1961		
CENTRO CULTURAL SALADIYO	CENTRO CULTURAL	BERON DE ASTRADA 5920		
CENTRO CULTURAL SEBASTIAN PIANA	CENTRO CULTURAL	PUAN 360		
CENTRO CULTURAL VERSALLES	CENTRO CULTURAL	BRUSELAS 785		
ESPACIO CULTURAL CARLOS GARDEL	CENTRO CULTURAL	OLLEROS 3640		
ESPACIO CULTURAL JULIAN CENTEYA	CENTRO CULTURAL	SAN JUAN AV. 3255		
CINE EL PLATA	CINE	ALBERDI, JUAN BAUTISTA AV. 5751		
POLO CIRCO	CIRCO	COMBATE DE LOS POZOS Y GARAY, JUAN DE AV.		
CONSERVATORIO SUPERIOR DE MUSICA DE LA CIUDAD DE BS. AS. ASTOR PIAZZOLLA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SARMIENTO 3401		
CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - ANEXO 1	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	BARCO CENTENERA DEL 741		
CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - ANEXO 2	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SALGUERO, JERONIMO 2445		
CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - ANEXO 3	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	HUMBERTO 1 3171		
CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - ANEXO 4	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CAMARGO 725		
CONSERVATORIO SUPERIOR DE MUSICA MANUEL DE FALLA - SEDE CENTRAL	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	GALLO 238		
ESCUELA METROPOLITANA DE ARTE DRAMATICA - ANEXO 1	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	JUFRE 141		
ESCUELA METROPOLITANA DE ARTE DRAMATICO	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SARMIENTO 2573		
ESPACIO TEATRAL LOS ANDES	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	LEIVA 4249		
ESTUDIO URBANO	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CURAPALIGUE 585		
INSTITUTO DE INVESTIGACION EN ETNOMUSICOLOGIA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	BOLIVAR 191		
INSTITUTO VOCACIONAL DE ARTE MANUEL JOSE DE LABARDEN - ANEXO 1	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	CURAPALIGUE AV. 1026		
INSTITUTO VOCACIONAL DE ARTE MANUEL JOSE DE LABARDEN - ANEXO 2	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	COLLIVADINO, PIO 470		
INSTITUTO VOCACIONAL DE ARTE MANUEL JOSE DE LABARDEN - SEDE CENTRAL	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	GARAY, JUAN DE AV. 1684		
RECREO DE LAS ARTES - SEDE CONSTITUCION	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	SOLIS 1815		
RECREO DE LAS ARTES - SEDE LA BOCA	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	ROCHA 1226		
AUDITORIO EVA PERON - PARQUE CENTENARIO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PATRICIAS ARGENTINAS AV. Y LILLO AV.		
TEATRO 25 DE MAYO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	TRIUNVIRATO AV. 4444		
TEATRO COLON	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CERRITO 618		
TEATRO DE LA RIBERA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	DON PEDRO DE MENDOZA AV. 1821		
TEATRO GENERAL SAN MARTIN	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1530		
TEATRO PRESIDENTE ALVEAR	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1659		
TEATRO REGIO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORDOBA AV. 6065		
TEATRO SARMIENTO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SARMIENTO AV. 2715		
CASA HISTORICA ISAAC FERNANDEZ BLANCO	MUSEO	YRIGOYEN, HIPOLITO 1420		
CENTRO DE MUSEOS DE BUENOS AIRES (DIRECCION GENERAL DE MUSEOS)	MUSEO	DE LOS ITALIANOS AV. Y VILLAFLOR, AZUCENA		
MUSEO CASA CARLOS GARDEL	MUSEO	JAURES, JEAN 735		
MUSEO DE ARTE ESPAÑOL ENRIQUE LARRETA	MUSEO	JURAMENTO AV. 2291		
MUSEO DE ARTE HISPANOAMERICANO ISAAC FERNANDEZ BLANCO	MUSEO	SUIPACHA 1422		
MUSEO DE ARTE MODERNO DE BUENOS AIRES	MUSEO	SAN JUAN AV. 350		
MUSEO DE ARTE POPULAR JOSE HERNANDEZ	MUSEO	DEL LIBERTADOR AV. 2373		
MUSEO DE ARTES PLASTICAS EDUARDO SIVORI	MUSEO	ISABEL, INFANTA AV. 555		
MUSEO DE ESCULTURAS LUIS PERLOTTI	MUSEO	PUJOL 642		
MUSEO DE LA CIUDAD	MUSEO	DEFENSA 219		
MUSEO DEL CINE PABLO DUCROS HICKEN (SEDE CAFFARENA)	MUSEO	CAFFARENA, AGUSTIN R. 49		
MUSEO DEL CINE PABLO DUCROS HICKEN (SEDE FEIJOO)	MUSEO	SALMUN FEIJOO, JOSE AARON 555		
MUSEO DEL HUMOR (MUHU)	MUSEO	DE LOS ITALIANOS AV. Y VILLAFLOR, AZUCENA		
MUSEO HISTORICO DE BUENOS AIRES CORNELIO DE SAAVEDRA	MUSEO	LARRALDE, CRISOLOGO AV. 6309		
TORRE MONUMENTAL - CENTRO DE INFORMES DE MUSEOS	MUSEO	DEL LIBERTADOR AV. 49		
FERIA DE MATADEROS	PEÑA	DE LOS CORRALES AV. 6501		
"PLANETARIO DE LA CIUDAD DE BUENOS AIRES ""GALILEO GALILEI"""	PLANETARIO	SARMIENTO AV. Y ROLDAN, BELISARIO AV.		
CAFE VICTORIA	BAR NOTABLE	ENTRE RIOS AV. 114		
VARELA VARELITA	BAR NOTABLE	SCALABRINI ORTIZ, RAUL AV. 2102		
PLAZA CAFE	BAR NOTABLE	RIVADAVIA AV. 4732		
8 ESQUINAS	BAR NOTABLE	FOREST AV. 1186		
MODENA DESING	BAR NOTABLE	FIGUEROA ALCORTA, PRES. AV. 2270		
LA PERLA BAR	BAR NOTABLE	JUJUY AV. 36		
LA NUEVA ANDALUZA	BAR NOTABLE	CAMARONES 1412		
LA FLOR DE BARRACAS	BAR NOTABLE	SUAREZ AV. 2095		
LA ACADEMIA	BAR NOTABLE	CALLAO AV. 368		
CAPISCI	BAR NOTABLE	VUELTA DE OBLIGADO 2072		
CAFFE TABAC	BAR NOTABLE	DEL LIBERTADOR AV. 2300		
CAFE ROMA	BAR NOTABLE	OLAVARRIA 409		
CAFE PALACIO	BAR NOTABLE	LACROZE, FEDERICO AV. 3901		
CAFE DE LA U	BAR NOTABLE	TRIUNVIRATO AV. 4801		
CAFE DE LA ESQUINA	BAR NOTABLE	DEL LIBERTADOR AV. 6169		
BOSTON CITY	BAR NOTABLE	FLORIDA 165		
LA FARMACIA	BAR NOTABLE	DIRECTORIO AV. 2400		
TOKIO	BAR NOTABLE	ALVAREZ JONTE AV. 3550		
THE BRIGHTON	BAR NOTABLE	SARMIENTO 645		
PETIT COLON	BAR NOTABLE	LIBERTAD 505		
MIRAMAR	BAR NOTABLE	SARANDI 1190		
LONDON CITY	BAR NOTABLE	DE MAYO AV. 599		
LAS VIOLETAS	BAR NOTABLE	RIVADAVIA AV. 3899		
LA POESIA	BAR NOTABLE	CHILE 502		
LA GIRALDA	BAR NOTABLE	CORRIENTES AV. 1453		
LA CORUÑA	BAR NOTABLE	BOLIVAR 982		
LA BIELA	BAR NOTABLE	QUINTANA, MANUEL, PRES. AV. 600		
FLORIDA GARDEN	BAR NOTABLE	FLORIDA 899		
EL PROGRESO	BAR NOTABLE	MONTES DE OCA, MANUEL 1702		
HIPOPOTAMO	BAR NOTABLE	BRASIL 401		
EL FARO	BAR NOTABLE	DE LOS CONSTITUYENTES AV. 4099		
CONFITERIA SAINT MORITZ	BAR NOTABLE	ESMERALDA 894		
PLAZA BAR	BAR NOTABLE	FLORIDA 1005		
OLIMPO	BAR NOTABLE	ARREGUI 5794		
LOS LAURELES	BAR NOTABLE	IRIARTE, GRAL. AV. 2290		
LE CARAVELLE	BAR NOTABLE	LAVALLE 726		
LA PUERTO RICO	BAR NOTABLE	ALSINA, ADOLFO 416		
LA PERLA	BAR NOTABLE	DON PEDRO DE MENDOZA AV. 1891		
LA EMBAJADA	BAR NOTABLE	SANTIAGO DEL ESTERO 88		
LA BUENA MEDIDA	BAR NOTABLE	SUAREZ 101		
IBERIA	BAR NOTABLE	DE MAYO AV. 1196		
EL QUERANDI	BAR NOTABLE	PERU 302		
EL PREFERIDO DE PALERMO	BAR NOTABLE	BORGES, JORGE LUIS 2108		
EL GATO NEGRO	BAR NOTABLE	CORRIENTES AV. 1669		
CONFITERIA IDEAL	BAR NOTABLE	SUIPACHA 384		
CLASICA Y MODERNA	BAR NOTABLE	CALLAO AV. 892		
CAFE RETIRO	BAR NOTABLE	RAMOS MEJIA, JOSE MARIA, DR. AV. 1358		
CAFE MARGOT	BAR NOTABLE	BOEDO AV. 857		
LOS GALGOS	BAR NOTABLE	CALLAO AV. 501		
EL COLECCIONISTA	BAR NOTABLE	RIVADAVIA AV. 4929		
DON JUAN	BAR NOTABLE	CAMARONES 2702		
CAFE DE GARCIA	BAR NOTABLE	SANABRIA 3302		
BAR SUR	BAR NOTABLE	ESTADOS UNIDOS 299		
CONFITERIA DEL HOTEL CASTELAR	BAR NOTABLE	DE MAYO AV. 1048		
CLARIDGE BAR	BAR NOTABLE	TUCUMAN 535		
CAFE TORTONI	BAR NOTABLE	DE MAYO AV. 825		
CAFE NOSTALGIA	BAR NOTABLE	SOLER 3599		
CAFE MAR AZUL	BAR NOTABLE	TUCUMAN 1700		
ESQUINA HOMERO MANZI	BAR NOTABLE	SAN JUAN AV. 3601		
CAFE EL BANDERIN	BAR NOTABLE	GUARDIA VIEJA 3601		
CAFE DE LOS ANGELITOS	BAR NOTABLE	RIVADAVIA AV. 2100		
BAR BRITANICO	BAR NOTABLE	BRASIL AV. 399		
BAR SEDDON	BAR NOTABLE	DEFENSA 695		
BAR OVIEDO	BAR NOTABLE	DE LA TORRE, LISANDRO AV. 2407		
BAR EL FEDERAL	BAR NOTABLE	CALVO, CARLOS 395		
BAR DEL HOTEL ALVEAR	BAR NOTABLE	ALVEAR AV. 1891		
36 BILLARES	BAR NOTABLE	DE MAYO AV. 1265		
BAR PLAZA DORREGO	BAR NOTABLE	DEFENSA 1096		
BARBARO - BAR O BAR	BAR CULTURAL	TRES SARGENTOS 415		
BAR EL ESTAÑO 1880	BAR NOTABLE	VALLE, ARISTOBULO DEL 1100		
BAR DE CAO	BAR NOTABLE	INDEPENDENCIA AV. 2400		
AMERICAN BAR	BAR NOTABLE	SAENZ PE�A, ROQUE, PRES. AV. 632		
12 DE OCTUBRE (BAR DE ROBERTO)	BAR NOTABLE	BULNES 331		
CLUB CULTURAL MATIENZO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PRINGLES 1249		
BIBLIOTECA POPULAR ARGENTINA PARA CIEGOS	BIBLIOTECA	LEZICA 3909		
BIBLIOTECA POPULAR GENERAL ALVEAR	BIBLIOTECA	AVELLANEDA 542		
CLUB OBRAS SANITARIAS DE LA NACION	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	DEL LIBERTADOR AV. 7395		
BIBLIOTECA POPULAR ALBERTO GERCHUNOFF	BIBLIOTECA	SARMIENTO 2233		
BIBLIOTECA POPULAR GRAL. BENITO NAZAR	BIBLIOTECA	ANTEZANA 340		
BIBLIOTECA POPULAR JUAN MARIA BECCIU	BIBLIOTECA	GRANADA, NICOLAS 1660		
BIBLIOTECA POPULAR EL RESPLANDOR	BIBLIOTECA	LLERENA 2727		
OPERA CITI	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 860		
MOLIERE CAFE CONCERT	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CHILE AV. 299		
GRUPO DE TEATRO COMUNITARIO POMPAPETRIYASS DE PARQUE PATRICIOS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	LUCA, ESTEBAN DE Y BRASIL		
BRILLA CORDELIA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PERON, JUAN DOMINGO, TTE. GENERAL 1926		
QUERIDA ELENA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PI Y MARGALL 1124		
ESPACIO TBK	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	TRELLES, MANUEL R. 2033		
TEATRO PAYRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SAN MARTIN 766		
TEATRO DEL ARTEFACTO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SARANDI 760		
DEL BORDE ESPACIO TEATRAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CHILE 630		
EL SOTANO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GARCIA, TEODORO 3234		
SOCIEDAD HEBRAICA ARGENTINA (SHA)	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SARMIENTO 2233		
ESPACIO CULTURAL C.E.I.A.C	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	FREIRE, RAMON, CAP. GRAL. 1658		
LA SODERIA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	VIDAL 2549		
EL ARBOL, CENTRO DE INVESTIGACION TEATRAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	14 DE JULIO 1261		
CLUB DEL PROGRESO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SARMIENTO 1334		
LA ESCALERA ESPACIO DE ARTE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	JUSTO, JUAN B. AV. 889		
CLUB ITALIANO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	RIVADAVIA AV. 4731		
EL GALPON DE CATALINAS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PEREZ GALDOS, BENITO AV. 93		
