NOMBRE	ACTIVIDAD	DIRECCION		
TEATRO PICCOLINO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	FITZ ROY 2056		
CHACAREREAN TEATRE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	NICARAGUA 5565		
TEATRO DEL ABASTO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	HUMAHUACA 3549		
ESPACIO CULTURAL PATA DE GANSO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ZELAYA 3122		
CENDAS AUDITORIO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BULNES 1350		
DE LA FABULA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	AGUERO 444		
EL PORTON DE SANCHEZ	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SANCHEZ DE BUSTAMANTE 1034		
ANDAMIO 90	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PARANA 662		
MARGARITA XIRGU	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CHACABUCO 875		
TEATRO MAIPO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ESMERALDA 443		
TEATRO EL NACIONAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 960		
TABARIS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 829		
ASTROS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 746		
MULTITEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1283		
TEATRO DEL PUEBLO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SAENZ PE�A, ROQUE, PRES. AV. 943		
TEATRO METROPOLITAN	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1343		
TEATRO NACIONAL CERVANTES	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORDOBA AV. 1155		
ESTADIO LUNA PARK	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BOUCHARD 465		
SPORTIVO TEATRAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	THAMES 1426		
EL DUENDE TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ARAOZ 1469		
SANTA MARIA DEL BUEN AYRE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MONTEVIDEO 842		
LA BIBLIOTECA CAFE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ALVEAR, MARCELO T. DE 1155		
TEATRO ORFEO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CAMPOS, LUIS M. AV. 1375		
TEATRO ASTRAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1639		
ESPACIO ECLECTICO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	HUMBERTO 1 730		
SALA CARLOS CARELLA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MITRE, BARTOLOME 970		
BECKETT TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GUARDIA VIEJA 3556		
CODIGO MONTESCO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GORRITI 3956		
LA TRASTIENDA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BALCARCE 460		
ESPACIO ABIERTO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CARABELAS 255		
ACADEMIA PORTEÑA DEL LUNFARDO	ESPACIO DE FORMACION (CARRERAS, SEMINARIOS Y TALLERES)	ESTADOS UNIDOS 1379		
ANFITRION	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	VENEZUELA 3340		
OESTE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BARCO CENTENERA DEL 141		
EL EXCENTRICO DE LA 18	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	LERMA 420		
VELMA CAFE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GORRITI 5520		
ENTRETELONES ESPACIO TEATRAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MARTINEZ, ENRIQUE, GRAL. 1427		
EL BRIO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GUATEMALA 5092		
CENTRO CREATIVO CABILDO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CABILDO AV. 4740		
UNIVERSIDAD POPULAR DE BELGRANO ALFREDO FAZIO	BIBLIOTECA	CAMPOS SALLES 2145		
KORINTHIO TEATRO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	JUNIN 380		
TEATRO EL ESPION	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SARANDI 766		
EL GALPON MULTIESPACIO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	DEAN FUNES 1267		
APACHETA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PASCO 623		
GRUPO MATEMURGA DE VILLA CRESPO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	VIALE, LUIS 654		
MEDITERRANEA ESPACIO DE ARTE	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	TUCUMAN 3378		
DEL SUR	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	VENEZUELA 2255		
CINE PREMIER	CINE	CORRIENTES AV. 1565		
BROADWAY I  Y II	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1155		
ACTOR S STUDIO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	DIAZ VELEZ AV. 3842		
DEL PASILLO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	COLOMBRES 35		
TEATRO EL CUBO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ZELAYA 3053		
DEL NUDO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1551		
BELISARIO CLUB DE CULTURA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1624		
PICADILLY	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1524		
TEATRO EL BULULU	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	RIVADAVIA AV. 1350		
TEATRO LICEO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	RIVADAVIA AV. 1495		
ARLEQUINO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ALSINA, ADOLFO 1484		
LOLA MEMBRIVES	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 1280		
TEATRO EL VITRAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	RODRIGUEZ PE�A 344		
TST (TEATRO SAN TELMO)	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	COCHABAMBA 370		
EL CRISOL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ARISMENDI 2658		
CASTORERA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORDOBA AV. 6237		
CLUB DE LAS ARTES	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	SALTA 755		
GARGANTUA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	NEWBERY, JORGE AV. 3563		
GRUPO LOS VILLURQUEROS	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	MILLER 2751		
PUERTA ROJA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	LAVALLE 3636		
ESCALADA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	ESCALADA DE SAN MARTIN, R. 332		
LA RATONERA CULTURAL	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	CORRIENTES AV. 5552		
LA TERTULIA	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	GALLO 826		
EL BARDO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	COCHABAMBA 743		
ND ATENEO	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	PARAGUAY 918		
TIMBRE 4	ESPACIO ESCENICO (TEATRO, MUSICA Y DANZA)	BOEDO AV. 640		
BIBLIOTECA POPULAR DR. ARTURO JAURETCHE	BIBLIOTECA	PERU 823		
BIBLIOTECA POPULAR ADOLFO SALDIAS	BIBLIOTECA	MONTEVIDEO 641		
BIBLIOTECA POPULAR CASA DE LA CULTURA DE LINIERS	BIBLIOTECA	PIERES 226		
BIBLIOTECA POPULAR MARIANO BOEDO	BIBLIOTECA	MAZA 755		
BIBLIOTECA POPULAR DR. ANTONIO SAENZ	BIBLIOTECA	SAENZ AV. 871		
BIBLIOTECA POPULAR JUAN PABLO ECHAGUE	BIBLIOTECA	SANTO TOME 2496		
BIBLIOTECA POPULAR EL PROGRESO	BIBLIOTECA	RIESTRA AV. 5655		
BIBLIOTECA POPULAR BERNARDINO RIVADAVIA	BIBLIOTECA	DIRECTORIO AV. 4623		
BIBLIOTECA POPULAR DR. TRISTAN J. GONZALEZ	BIBLIOTECA	GOYENA, PEDRO AV. 1579		
BIBLIOTECA POPULAR CORNELIO SAAVEDRA	BIBLIOTECA	GARCIA DEL RIO AV. 2735		
BIBLIOTECA POPULAR ALBERDI	BIBLIOTECA	ACEVEDO 666		
BIBLIOTECA POPULAR LIGA DE FOMENTO MITRE	BIBLIOTECA	GAVILAN 1540		
BIBLIOTECA POPULAR 12 DE OCTUBRE	BIBLIOTECA	ARENGREEN 1187		
BIBLIOTECA POPULAR FEDERICO LACROZE	BIBLIOTECA	THOMPSON 502		
CENTRO CULTURAL Y BIBLIOTECA POPULAR CARLOS SANCHEZ VIAMONTE	BIBLIOTECA	AUSTRIA 2156		
BIBLIOTECA POPULAR ROBERTO J. BENAMOR	BIBLIOTECA	BILLINGHURST 426		
BIBLIOTECA POPULAR HIJOS DEL BARRIO PIEDRA BUENA	BIBLIOTECA	2 DE ABRIL DE 1982 6730		
"MUSEO ""CASA DE YRURTIA"""	MUSEO	O'HIGGINS 2390		
MUSEO FOTOGRAFICO SIMIK	MUSEO	LACROZE, FEDERICO AV. 3901		
DEL PILAR - CLAUSTROS HISTORICOS	SALA DE EXPOSICION	JUNIN 1892		
BENITO QUINQUELA MARTIN. MUSEO DE BELLAS DE LA BOCA DE ARTISTAS ARGENTINOS	MUSEO	DON PEDRO DE MENDOZA AV. 1835		
CENTRO CULTURAL CARAS Y CARETAS	CENTRO CULTURAL	VENEZUELA 370		
JUAN BAUTISTA AMBROSETTI MUSEO ETNOGRAFICO	MUSEO	MORENO 350		
MUSEO DEL BICENTENARIO	MUSEO	PASEO COLON AV. 100		
DR. JOSE EVARISTO URIBURU - MUSEO HISTORICO Y NUMISMATICO DEL BANCO CENTRAL DE LA REPUBLICA ARGENTINA	MUSEO	SAN MARTIN 216		
"MUSEO DE CALCOS Y ESCULTURA COMPARADA ""ERNESTO DE LA CARCOVA"""	MUSEO	ESPAÃ‘A AV. 1701		
MUSEO CARLOS VEGA DEL INSTITUTO NACIONAL DE MUSEOLOGIA	MUSEO	MEXICO 546		
MUSEO HERMANO ESTEBAN LA SALLE	MUSEO	RIOBAMBA 650		
MUSEO VICENTE LOPEZ Y PLANES - SADAIC	MUSEO	LAVALLE 1547		
MUSEO ARGENTINO DEL TITERE	MUSEO	PIEDRAS 905		
MUSEO HISTORICO NACIONAL	MUSEO	DEFENSA 1600		
MARIA ANTONIA DE SAN JOSE MUSEO DE ARTE SACRO	MUSEO	INDEPENDENCIA AV. 1190		
INPB DR. MALBRAN MUSEO SERPENTARIO (CON FINES CIENTIFICOS)	MUSEO	VELEZ SARSFIELD AV. 563		
MUSEO JUDIO DE BUENOS AIRES	MUSEO	LIBERTAD 769		
MUSEO HISTORICO DE CERA	MUSEO	VALLE IBERLUCEA DEL, DR. 1261		
"MUSEO DE ARMAS DE LA NACION ""TENIENTE GENERAL PABLO RICCHIERI"""	MUSEO	SANTA FE AV. 702		
"MUSEO NACIONAL Y CENTRO DE ESTUDIOS HISTORICOS FERROVIARIOS ""RAUL SCALABRINI ORTIZ"""	MUSEO	DEL LIBERTADOR AV. 405		
MUSEO NACIONAL DE LA HISTORIA DEL TRAJE	MUSEO	CHILE 832		
MUSEO DEL AGUA Y DE LA HISTORIA SANITARIA	MUSEO	RIOBAMBA 750		
MUSEO NACIONAL DE BELLAS ARTES	MUSEO	DEL LIBERTADOR AV. 1473		
MUSEO HISTORICO DE GENDARMERIA NACIONAL	MUSEO	CASTILLO, RAMON S., PRES. AV. 788		
BUQUE MUSEO ARA CORBETA URUGUAY	MUSEO	MOREAU DE JUSTO, ALICIA AV. 500		
GALERIA DE ARTE KARINA PARADISO	GALERIA DE ARTE	DEL LIBERTADOR AV. 4700		
GALERIA DE ARTE ADRIANA INDIK	GALERIA DE ARTE	RODRIGUEZ PE�A 2067		
ALICIA BRANDY GALERIA DE ARTE	GALERIA DE ARTE	CHARCAS 3149		
APPETITE CONTEMPOPORARY ART	GALERIA DE ARTE	CHACABUCO 551		
GALERIA FOSTER CATENA	GALERIA DE ARTE	HONDURAS 4882		
DE SANTI GALERIA	GALERIA DE ARTE	ESMERALDA 952		
DE LA RECOLETA GALERIA DE ARTE	GALERIA DE ARTE	AGUERO 2502		
GALERIA EL SOCORRO	GALERIA DE ARTE	SUIPACHA 1331		
GALERIA RUBBERS INTERNACIONAL	GALERIA DE ARTE	ALVEAR 1595		
PALATINA GALERIA DE ARTE	GALERIA DE ARTE	ARROYO 821		
AGALMA.ARTE	GALERIA DE ARTE	ARROYO 882		
CONSORCIO DE ARTE DE BUENOS AIRES	GALERIA DE ARTE	GUIDO 1566		
GALERIA FORMA	GALERIA DE ARTE	THAMES 1620		
GALERIA ISIDRO MIRANDA	GALERIA DE ARTE	ESTADOS UNIDOS 726		
HOY EN EL ARTE GALERIA	GALERIA DE ARTE	JUNCAL 848		
GALERIA VAN RIEL	GALERIA DE ARTE	JUNCAL 790		
ZAVALETA LAB ARTE CONTEMPORANEO	GALERIA DE ARTE	VENEZUELA 571		
GALERIA ARTE X ARTE	GALERIA DE ARTE	LAVALLEJA 1062		
G/C ARTE CONTEMPORANEO	GALERIA DE ARTE	SUIPACHA 1250		
GACHI PIMIENTO GALLERY CONTEMPORARY LATIN AMERICA ART	GALERIA DE ARTE	URIARTE 1976		
TRANSARTE EMERGENCIAS CULTURALES	GALERIA DE ARTE	DEFENSA 1326		
GALERIA MAR DULCE	GALERIA DE ARTE	URIARTE 1490		
CENTOIRA	GALERIA DE ARTE	FRENCH 2611		
GALERIA PRAXIS	GALERIA DE ARTE	ARENALES 1311		
RO GALERIA DE ARTE	GALERIA DE ARTE	PARANA 1158		
GALERIA DABBAH TORREJON	GALERIA DE ARTE	EL SALVADOR 5176		
GALERIA 713 ARTE CONTEMPORANEO	GALERIA DE ARTE	DEFENSA 713		
GALERIA ELSI DEL RIO	GALERIA DE ARTE	HUMBOLDT 1510		
GALERIA VAN EYCK	GALERIA DE ARTE	SANTA FE AV. 834		
GALERIA VERMEER	GALERIA DE ARTE	SUIPACHA 1169		
GALERIA URSOMARZO	GALERIA DE ARTE	ARENALES 921		
GALERIA DE ARTE MERCEDES GIACHETTI	SALA DE EXPOSICION	DEFENSA 718		
GALERIA JORGE MARA  LA RUCHE	GALERIA DE ARTE	PARANA 1133		
GALERIA JACQUES MARTINEZ	GALERIA DE ARTE	DE MAYO AV. 1130		
BRAGA MENENDEZ ARTE CONTEMPORANEO	GALERIA DE ARTE	HUMBOLDT 1574		
SUBASTAS ROLDAN	GALERIA DE ARTE	JUNCAL 743		
FEDERICO TOWPYHA ARTE CONTEMPORANEO	GALERIA DE ARTE	TUCUMAN 3148		
GALERIA BACANO	GALERIA DE ARTE	ARMENIA 1544		
GALERIA IGNACIO LIPRANDI	GALERIA DE ARTE	DE MAYO AV. 1480		
GALERIA EDEA	GALERIA DE ARTE	DEFENSA 771		
GALERIA DANIEL MAMAN FINE ARTS	GALERIA DE ARTE	DEL LIBERTADOR AV. 2475		
GALERIA ZURBARAN	GALERIA DE ARTE	CERRITO 1522		
GALERIA WUSSMANN SAN TELMO	GALERIA DE ARTE	VENEZUELA 579		
GALERIA SARA GARCIA URIBURU	GALERIA DE ARTE	URUGUAY 1223		
SAAP - SOCIEDAD ARGENTINA DE ARTISTAS PLASTICOS	GALERIA DE ARTE	VIAMONTE 458		
GALERIA RUTH BENZACAR	GALERIA DE ARTE	FLORIDA 1000		
GALERIA VASARI	GALERIA DE ARTE	ESMERALDA 1357		
GALERIA LAURA HABER	GALERIA DE ARTE	JUNCAL 885		
GALERIA LAGARD	GALERIA DE ARTE	SUIPACHA 1216		
GALERIA ISABEL ANCHORENA	GALERIA DE ARTE	LIBERTAD 1389		
ESPACIO 10 ART GALLERY	GALERIA DE ARTE	GUATEMALA 4757		
ESPACIO FUNDACION TELEFONICA	SALA DE EXPOSICION	ARENALES 1540		
GALERIA ABATE	GALERIA DE ARTE	BOLLINI 2170		
GALERIA DEL INFINITO ARTE	GALERIA DE ARTE	QUINTANA, MANUEL, PRES. 325		
GALERIA ATICA	GALERIA DE ARTE	LIBERTAD 1240		
GALERIA BRAQUE	GALERIA DE ARTE	CHACABUCO 131		
GALERIA ARCIMBOLDO	SALA DE EXPOSICION	RECONQUISTA 761		
GALERIA RICARDO LOPEZ	GALERIA DE ARTE	ARENALES 966		
GALERIA DE ARTE MEDITERRANEA	GALERIA DE ARTE	PACHECO 2380		
GALERIA DE ARTE LEONARDO DA VINCI	GALERIA DE ARTE	LIBERTAD 1226		
GALERIA ALBERTO SENDROS	GALERIA DE ARTE	TRES SARGENTOS 359		
GALERIA MATILDE BENSIGNOR	GALERIA DE ARTE	MATIENZO, BENJAMIN, TENIENTE 2460		
CASA DE CASTAGNINO	GALERIA DE ARTE	BALCARCE 1016		
"MUSEO ARGENTINO DE CIENCIAS NATURALES ""BERNARDINO RIVADAVIA"""	MUSEO	GALLARDO, ANGEL AV. 490		
PALAIS DE GLACE - PALACIO NACIONAL DE LAS ARTES	SALA DE EXPOSICION	POSADAS 1795		
MUSEO DE LA DEUDA EXTERNA ARGENTINA	MUSEO	URIBURU JOSE E., PRES. 781		
MUSEO DE CIENCIA Y TECNICA FACULTAD DE INGENIERIA DE LA UNIVERSIDAD DE BS. AS.	MUSEO	LAS HERAS GENERAL AV. 2214		
MUSEO ERNESTO CHE GUEVARA	MUSEO	ROJAS 129		
MUSEO MONTE DE PIEDAD - BANCO CIUDAD DE BUENOS AIRES	MUSEO	BOEDO AV. 870		
COMPLEJO DE MUSEOS DEL INSTITUTO FELIX BERNASCONI	MUSEO	CASTILLO, CATULO 2750		
MUSEO DE LOS NIÑOS ABASTO	MUSEO	CORRIENTES AV. 3247		
MUSEO DE LA PASION BOQUENSE	MUSEO	BRANDSEN 805		
MUSEO INTERACTIVO DE MATEMATICA - MATEUBA MUSEUM	MUSEO	GUIRALDES, INT. 2620		
"MUSEO DE MINERALOGIA ""DOCTORA E. MERTOLA"""	MUSEO	GUIRALDES, INT. 2620		
MUSEO EVITA. INSTITUTO NACIONAL DE INVESTIGACIONES HISTORICAS EVA PERON.	MUSEO	LAFINUR 2988		
TALLER MUSEO GYULA KOSICE	MUSEO	HUMAHUACA 4662		
MUSEO HISTORICO Y NUMISMATICO DEL BANCO DE LA NACION ARGENTINA	MUSEO	MITRE, BARTOLOME 326		
MUSEO DE LA ASOCIACION DE ANESTESIA, ANALGESIA Y REANIMACION	MUSEO	FRAGATA PRES. SARMIENTO 541		
MUSEO DEL HOMBRE. INSTITUTO DE ANTROPOLOGIA Y PENSAMIENTO LATINOAMERICANO.	MUSEO	3 DE FEBRERO 1370		
MUSEO HISTORICO NACIONAL DEL CABILDO Y DE LA REVOLUCION DE MAYO	MUSEO	BOLIVIA 65		
MUSEO DE LA ADMINISTRACION FEDERAL DE INGRESOS PUBLICOS (AFIP)	MUSEO	YRIGOYEN, HIPOLITO AV. 370		
MUSEO NACIONAL DEL GRABADO	MUSEO	AGUERO 2502		
FUNDACION FEDERICO JORGE KLEMM	SALA DE EXPOSICION	ALVEAR, MARCELO T. DE 626		
FUNDACION ALBERTO ELIA MARIO ROBIROSA	GALERIA DE ARTE	AZCUENAGA 1739		
FUNDACION PROA	SALA DE EXPOSICION	DON PEDRO DE MENDOZA AV. 1929		
MUSEO DE LA POLICIA FEDERAL ARGENTINA	MUSEO	SAN MARTIN 353		
MUSEO MITRE	MUSEO	SAN MARTIN 336		
MUSEO CRIOLLO DE LOS CORRALES	MUSEO	DE LOS CORRALES AV. 6501		
MUSEO HISTORICO SARMIENTO	MUSEO	JURAMENTO AV. 2180		
MUSEO NACIONAL DE ARTE DECORATIVO	MUSEO	DEL LIBERTADOR AV. 1902		
MUSEO ROCA INSTITUTO DE INVESTIGACIONES HISTORICAS	MUSEO	LOPEZ, VICENTE 2220		
"MUSEO PARTICIPATIVO DE CIENCIAS ""PROHIBIDO NO TOCAR"""	MUSEO	JUNIN 1939		
MUSEO DEL HOLOCAUSTO DE BUENOS AIRES - SHOA MUSEUM	MUSEO	MONTEVIDEO 919		
MUSEO XUL SOLAR	MUSEO	LAPRIDA 1212		
"MUSEO DEL SENADO DE LA NACION ARGENTINA ""SENADOR DOMINGO FAUSTINO SARMIENTO"""	MUSEO	YRIGOYEN, HIPOLITO AV. 1708		
"MUSEO DE LA FARMACIA ""DRA. ROSA DALESSIO DE CARNEVALE BONINO"""	MUSEO	JUNIN 956		
"MUSEO DE FARMACO BOTANICA ""JUAN A. DOMINGUEZ"""	MUSEO	JUNIN 956		
CENTRO ANA FRANK ARGENTINA	MUSEO	SUPERI 2647		
MUSEO CASA TALLER CELIA CHEVALIER	MUSEO	IRALA 1162		
MUSEO FRANCISCANO JOSE MARIA BOTARO	MUSEO	ALSINA, ADOLFO 380		
BUQUE MUSEO FRAGATA ARA PRESIDENTE SARMIENTO	MUSEO	MOREAU DE JUSTO, ALICIA AV. 980		
INSTITUTO DE INVESTIGACIONES HISTORICAS DE LAS MANZANAS DE LAS LUCES	MUSEO	PERU 272		
MUSEO MUNDIAL DEL TANGO DE LA ACADEMIA NACIONAL DEL TANGO	MUSEO	RIVADAVIA AV. 830		
MUSEO PARTICIPATIVO MINERO MUMIN	MUSEO	ROCA, JULIO A., PRESIDENTE AV. 651		
MUSEO DEL AUDIFONO	MUSEO	PERON, JUAN DOMINGO, TTE. GENERAL 1647		
MUSEO DE LOS PATRICIOS DE BUENOS AYRES - REGIMIENTO DE INFANTERIA NRO 1	MUSEO	BULLRICH, INT. AV. 481		
MUSEO DE ARQUITECTURA Y DISEÑO MARQ	MUSEO	DEL LIBERTADOR AV. 999		
MUSEO CASA DE RICARDO ROJAS	MUSEO	CHARCAS 2837		
CLUB GRICEL	MILONGA Y/O TANGUERIA	LA RIOJA 1180		
COMPLEJO TANGO	MILONGA Y/O TANGUERIA	BELGRANO AV. 2608		
CANDILEJAS TANGO	MILONGA Y/O TANGUERIA	ESTADOS UNIDOS 1500		
ROJO TANGO	MILONGA Y/O TANGUERIA	SALOTTI MARTHA 445		
LA VENTANA	MILONGA Y/O TANGUERIA	BALCARCE 431		
GALA TANGO	MILONGA Y/O TANGUERIA	5 DE JULIO 434		
SABOR A TANGO	MILONGA Y/O TANGUERIA	PERON, JUAN DOMINGO, TTE. GENERAL 2535		
MADERO TANGO	MILONGA Y/O TANGUERIA	MOREAU DE JUSTO, ALICIA AV. 2060		
LA PAILA RESTAURANT	PEÑA	COSTA RICA 4848		
BIBLIOTECA ANTARTIDA	BIBLIOTECA	CERRITO 1248		
"BIBLIOTECA DE SEGURIDAD SOCIAL ""DR. RICARDO MOLES"""	BIBLIOTECA	BALCARCE 610		
CENTRO DE INFORMACION TECHINT	BIBLIOTECA	CORDOBA AV. 320		
BIBLIOTECA FUNDACION DE ALTOS ESTUDIOS EN CIENCIAS COMERCIALES	BIBLIOTECA	URUGUAY 57		
BIBLIOTECA CENTRO DE ESTUDIOS PARA LA NUEVA MAYORIA	BIBLIOTECA	ESTADOS UNIDOS 943		
"SERVICIO DE INFORMACION Y DOCUMENTACION DEL HOSPITAL NACIONAL DE PEDIATRIA ""PROF. JUAN P. GARRAHAN"""	BIBLIOTECA	COMBATE DE LOS POZOS 1881		
"BIBLIOTECA ""BIALET MASSE"""	BIBLIOTECA	ALEM, LEANDRO N. AV. 650		
BIBLIOTECA CENTRO DE ESTUDIOS DE POBLACION	BIBLIOTECA	CORRIENTES AV. 2817		
BIBLIOTECA FUNDACION DE ESTUDIOS BRASILEIROS. LIBRERIA FLOR DO IPE	BIBLIOTECA	ESMERALDA 965		
BIBLIOTECA NACIONAL DE MAESTROS	BIBLIOTECA	PIZZURNO 953		
HEMEROTECA DEL MINISTERIO DE EDUCACION	ARCHIVO	PIZZURNO 953		
CENTRO DE INFORMACION Y DOCUMENTACION EDUCATIVA	ARCHIVO	PIZZURNO 935		
BIBLIOTECA AUDITORIA GENERAL DE LA NACION	BIBLIOTECA	YRIGOYEN, HIPOLITO 1236		
BIBLIOTECA DE LA SUPERINTENDENCIA DE RIESGOS DEL TRABAJO	BIBLIOTECA	MITRE, BARTOLOME 751		
"CENTRO DE DOCUMENTACION DEL CENTRO FEDERAL DE INVERSIONES CFI ""DR. MANUEL BELGRANO"""	BIBLIOTECA	SAN MARTIN 871		
BIBLIOTECA Y CENTRO ADMNISTRATIVO DOCUMENTAL SEDRONAR	BIBLIOTECA	SARMIENTO 546		
"BIBLIOTECA CENTRAL Y CENTRO DE DOCUMENTACION ""PERITO FRANCISCO P. MORENO"""	BIBLIOTECA	SANTA FE AV. 690		
BIBLIOTECA DEL SERVICIO DE HIDROGRAFIA NAVAL	BIBLIOTECA	MONTES DE OCA, MANUEL 2124		
"BIBLIOTECA Y SERVICIO DE INFORMACION EN LINEA ""DR. CARLOS A. DURRUTY"""	BIBLIOTECA	SANCHEZ DE BUSTAMANTE 1749		
BIBLIOTECA DEL INSTITUTO ARGENTINO DEL ENVASE	BIBLIOTECA	JUJUY AV. 425		
CENTRO INTERDISCIPLINARIO DE INVESTIGACIONES EN PSICOLOGIA, MATEMATICA Y EXPERIMENTAL	BIBLIOTECA	PERON, JUAN DOMINGO, TTE. GENERAL 2158		
CENTRO DE INVESTIGACIONES ENDOCRINOLOGICAS CEDIE	BIBLIOTECA	GALLO 1330		
BIBLIOTECA DEL INSTITUTO UNIVERSITARIO DE LA POLICIA FEDERAL ARGENTINA	BIBLIOTECA	ROSARIO 532		
"BIBLIOTECA DEL INSTITUTO TECNICO MEDICO ""ALEXADER FLEMING"". FUNDACION CANCER (FUCA)."	BIBLIOTECA	CRAMER 1180		
BIBLIOTECA DEL INSTITUTO SUPERIOR EN LENGUAS VIVAS	BIBLIOTECA	PELLEGRINI, CARLOS 1515		
BIBLIOTECA DEL AREA DE INVESTIGACIONES GEOGRAFICAS DEL INSTITUTO MULTIDISCIPLINARIO DE CIENCIAS HUMANAS	BIBLIOTECA	SAAVEDRA 15		
BIBLIOTECA DEL AREA DE ARQUEOLOGIA DEL INSTITUTO MULTIDISCIPLINARIO DE CIENCIAS HUMANAS	BIBLIOTECA	SAAVEDRA 15		
BIBLIOTECA DEL AREA DE EGIPTOLOGIA DEL INSTITUTO MULTIUDISCIPLINARIO DE CIENCIAS HUMANAS	BIBLIOTECA	SAAVEDRA 15		
BIBLIOTECA DEL AREA DE INVESTIGACIONES MEDIEVALES DEL INSTITUTO MULTIDISCIPLINARIO DE CIENCIAS HUMANAS	BIBLIOTECA	SAAVEDRA 15		
BIBLIOTECA DE LA ESCUELA DE LA ORIENTACION LACANIANA	BIBLIOTECA	CALLAO AV. 1033		
